Jan 1, 2015	2,028.18
Jan 1, 2014	1,822.36
Jan 1, 2013	1,480.40
Jan 1, 2012	1,300.58
Jan 1, 2011	1,282.62
Jan 1, 2010	1,123.58
Jan 1, 2009	865.58
Jan 1, 2008	1,378.76
Jan 1, 2007	1,424.16
Jan 1, 2006	1,278.73
Jan 1, 2005	1,181.41
Jan 1, 2004	1,132.52
Jan 1, 2003	895.84
Jan 1, 2002	1,140.21
Jan 1, 2001	1,335.63
Jan 1, 2000	1,425.59
Jan 1, 1999	1,248.77
Jan 1, 1998	963.36
Jan 1, 1997	766.22
Jan 1, 1996	614.42
Jan 1, 1995	465.25
Jan 1, 1994	472.99
Jan 1, 1993	435.23
Jan 1, 1992	416.08
Jan 1, 1991	325.49
Jan 1, 1990	339.97
Jan 1, 1989	285.40
